model_name,sample_size,method,tree_idx,tree,num_contexts,sample_idx,opt
model1,10000,smc,4,000000 1 10 100 1000 10000 100000,7,7,0
model1,10000,smc,0,0 1,2,8,0
model1,10000,smc,1,00 1 10,3,8,0
model1,10000,smc,2,000 1 10 100,4,8,1
model1,10000,smc,3,000000 1 10 100 1000 10000 100000,7,8,0
model1,10000,smc,0,0 1,2,9,0
model1,10000,smc,1,00 1 10,3,9,0
model1,10000,smc,2,000 1 10 100,4,9,0
model1,10000,smc,3,0000 1 10 100 1000,5,9,1
model1,10000,smc,4,000000 1 10 100 1000 10000 100000,7,9,0
model1,10000,smc,0,0 1,2,10,0
model1,10000,smc,1,00 1 10,3,10,0
model1,10000,smc,2,000 1 10 100,4,10,0
model1,10000,smc,3,0000 1 10 100 1000,5,10,0
model1,10000,smc,4,00000 1 10 100 1000 10000,6,10,0
model1,10000,smc,5,000000 1 10 100 1000 10000 100000,7,10,1
model1,10000,smc,0,0 1,2,11,0
model1,10000,smc,1,00 1 10,3,11,0
model1,10000,smc,2,000 1 10 100,4,11,1
model1,10000,smc,3,000000 1 10 100 1000 10000 100000,7,11,0
model1,10000,smc,0,0 1,2,12,0
model1,10000,smc,1,00 1 10,3,12,0
model1,10000,smc,2,000 1 10 100,4,12,0
model1,10000,smc,3,0000 1 10 100 1000,5,12,0
model1,10000,smc,4,000000 1 10 100 1000 10000 100000,7,12,1
model1,10000,smc,0,0 1,2,13,0
model1,10000,smc,1,00 1 10,3,13,0
model1,10000,smc,2,000 1 10 100,4,13,0
model1,10000,smc,3,0000 1 10 100 1000,5,13,0
model1,10000,smc,4,000000 1 10 100 1000 10000 100000,7,13,1
model1,10000,smc,0,0 1,2,14,0
model1,10000,smc,1,00 1 10,3,14,0
model1,10000,smc,2,000 1 10 100,4,14,0
model1,10000,smc,3,0000 1 10 100 1000,5,14,1
model1,10000,smc,4,000000 1 10 100 1000 10000 100000,7,14,0
model1,10000,smc,0,0 1,2,15,0
model1,10000,smc,1,00 1 10,3,15,0
